id, level, point, color, red, green, blue, white, black
0, 3, 3,RED, 0, 3, 5, 3, 3
1, 3, 4,RED, 3, 6, 3, 0, 0
2, 3, 4,RED, 0, 7, 0, 0, 0
3, 3, 5,RED, 3, 7, 0, 0, 0
4, 3, 3,GREEN, 3, 0, 3, 5, 3
5, 3, 4,GREEN, 0, 3, 6, 3, 0
6, 3, 4,GREEN, 0, 0, 7, 0, 0
7, 3, 5,GREEN, 0, 3, 7, 0, 0
8, 3, 3,BLUE, 3, 3, 0, 3, 5
9, 3, 4,BLUE, 0, 0, 3, 6, 5
10, 3, 4,BLUE, 0, 0, 0, 7, 0
11, 3, 5,BLUE, 0, 0, 3, 7, 0
12, 3, 3,WHITE, 5, 3, 3, 0, 3
13, 3, 4,WHITE, 3, 0, 0, 3, 6
14, 3, 4,WHITE, 0, 0, 7, 0, 0
15, 3, 5,WHITE, 0, 0, 7, 3, 0
16, 3, 3,BLACK, 3, 5, 3, 3, 0
17, 3, 4,BLACK, 6, 3, 0, 0, 3
18, 3, 4,BLACK, 7, 0, 0, 0, 0
19, 3, 5,BLACK, 7, 0, 0, 0, 3
